# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
62;0;0.394920;1.988229;9.521543;-2.075235;-1.572446;-0.418266;0.070745;-0.316417;-0.629457;1;-0.915213;1.174596;9.886065;-0.455750;0.520790;-0.817270;0.008040;-0.033568;-1.036813;6;9.854119;-1.505595;0.119448;3.872453;-2.375814;-2.590316;-0.540825;-0.094245;0.270632;1;0;
63;0;0.511573;2.103511;9.637959;-2.106407;-1.539771;-0.601653;0.084494;-0.320319;-0.615731;1;-0.174786;0.891210;9.505066;-0.425556;0.488907;-0.570938;0.007896;-0.003999;-1.024470;6;9.432243;-0.576917;-0.243741;4.618729;-2.260884;-1.615571;-0.554658;-0.113946;0.333511;1;0;
64;0;0.511573;2.103511;9.637959;-2.107303;-1.756286;-0.482498;0.070373;-0.319945;-0.615381;1;-0.854799;0.949261;10.000363;-0.207697;0.643164;-0.291776;-0.018647;-0.006293;-0.995219;6;9.371161;-0.635352;-0.364902;4.562111;-2.239658;-0.729152;-0.582336;-0.097336;0.317005;1;0;
65;0;0.514049;1.759345;9.750217;-2.320640;-1.416453;-0.721705;0.069959;-0.271575;-0.653781;1;-1.088795;1.005880;9.825656;-0.239175;0.611101;-0.137980;0.020796;-0.019244;-1.023742;6;9.670063;-1.332445;-0.242553;4.689380;-2.060409;-0.272027;-0.527051;-0.129731;0.334488;1;0;
66;0;0.743973;2.046628;9.812731;-2.073706;-1.295162;-0.475100;0.042118;-0.301896;-0.632175;1;-0.392205;0.497802;10.066295;-0.241086;0.457978;-0.170332;0.007896;-0.003999;-1.024470;6;10.017847;-0.986035;-0.534001;5.988273;-1.628449;-0.187104;-0.541101;-0.128282;0.303362;1;0;
67;0;0.906787;2.102015;9.361488;-0.966694;-0.486807;-0.833166;0.084866;-0.316791;-0.629807;1;-0.162027;1.173384;10.128339;-0.363922;0.517538;-0.139011;0.034073;0.042112;-1.028033;6;9.597997;-0.928497;-0.900898;6.110404;-1.439427;-0.677453;-0.554591;-0.096101;0.301618;1;0;
68;0;0.568046;1.643696;9.580289;-0.504819;-0.052676;-0.980780;0.070745;-0.316417;-0.629457;1;-0.496325;1.061797;10.630747;-0.362128;0.670057;-0.014180;0.034143;-0.002777;-1.039371;6;9.778751;-1.102389;-0.718618;6.049626;-1.348197;-0.647106;-0.596453;-0.113732;0.317772;1;0;
69;0;0.794380;2.274905;9.473691;0.603556;0.626490;-0.788924;0.098600;-0.303395;-0.633572;1;-0.631013;1.173914;9.722191;-0.393449;0.667451;0.324878;0.008116;-0.018248;-1.037816;6;9.780817;-1.043818;-0.598557;6.078271;-1.902789;-0.247247;-0.568425;-0.115803;0.364496;1;0;
70;0;0.912603;1.758572;9.644305;0.916270;1.392390;-0.440028;0.098214;-0.289624;-0.636987;1;-0.567857;0.779683;9.949626;-0.425513;0.575065;0.323933;0.032962;-0.007065;-0.981973;6;10.066689;-0.872243;-1.071568;6.325089;-2.523139;0.671708;-0.554942;-0.110641;0.271399;1;0;
71;0;0.453122;2.218195;9.580475;0.703524;1.480107;-0.131310;0.057367;-0.308985;-0.657260;1;-0.452619;0.723137;9.951996;-0.487379;0.573878;0.385528;0.007160;0.023426;-0.983428;6;9.731685;-1.506314;-0.122380;5.798469;-3.048188;0.981752;-0.555009;-0.128486;0.303292;1;0;
72;0;0.738447;1.987980;9.528224;0.766720;1.662697;0.055483;0.041747;-0.305425;-0.618099;1;-0.911371;1.062077;10.055889;-0.331347;0.727150;0.695459;0.007896;-0.003999;-1.024470;6;10.260940;-0.694465;-0.109015;5.984827;-3.174292;1.409563;-0.582963;-0.145913;0.319516;1;0;
73;0;0.789186;1.756725;9.187254;0.704058;1.353356;0.203975;0.071502;-0.326659;-0.640118;1;-0.733516;0.892952;10.285932;-0.176292;0.760781;0.541777;0.020947;0.011396;-1.025750;6;9.364403;-1.043615;-0.785981;6.601460;-2.985704;1.131361;-0.541172;-0.127456;0.287834;1;0;
74;0;0.500562;1.928774;9.068704;0.764251;1.200331;0.170647;0.042475;-0.281069;-0.663743;1;-0.222549;1.455050;10.014088;-0.023887;0.608813;0.632873;0.033182;-0.021313;-0.995319;6;9.731570;-0.983382;-0.060248;7.216751;-3.073992;1.007302;-0.499377;-0.127670;0.303573;1;0;
75;0;0.744138;1.816862;9.811765;0.335386;1.135126;0.324161;0.098986;-0.317166;-0.630156;1;-0.510184;0.723244;9.950787;-0.117272;0.546710;0.570524;0.020362;0.069462;-0.986715;6;9.723617;-0.404105;-0.417217;6.261356;-2.550482;0.335876;-0.554591;-0.096101;0.301618;1;0;
76;0;0.457493;2.334043;9.808370;0.211298;0.919779;0.290351;0.070359;-0.302645;-0.632873;1;-0.743834;1.230555;9.833099;0.131167;0.642443;0.479192;0.033552;-0.004921;-1.010672;6;10.141922;-1.217373;-0.233255;6.287676;-1.330918;-2.237302;-0.540546;-0.078879;0.285323;1;0;
77;0;0.568869;2.046028;9.638831;-0.035109;0.765671;0.227220;0.084080;-0.271950;-0.654130;1;-0.280354;0.948135;9.955813;-0.115206;0.700637;0.479572;0.020872;-0.003924;-1.024746;6;10.197232;-1.044022;-0.411133;6.388291;-0.600856;-1.813277;-0.555288;-0.143853;0.288601;1;0;
78;0;0.568910;1.988587;9.638590;-0.251295;0.487736;0.253993;0.084094;-0.289249;-0.636638;1;-0.865786;1.005164;9.490654;-0.361619;0.758630;0.510779;0.021092;-0.018173;-1.038092;6;9.432918;-0.867297;-0.244977;6.857313;-0.114806;-1.328295;-0.499377;-0.127670;0.303573;1;0;
79;0;0.855224;1.930938;9.643916;-0.312745;0.425290;0.314491;0.056239;-0.302271;-0.632524;1;-1.030236;1.118481;9.883600;-0.548543;0.633619;0.509385;0.033037;0.008256;-0.982976;6;10.017577;-0.869883;-0.533507;7.344447;-0.132273;-2.430223;-0.554241;-0.081561;0.331836;1;0;
80;0;0.520812;1.645909;10.090853;-0.283876;0.242781;0.158102;0.084465;-0.285721;-0.650714;1;-1.142626;0.949799;9.994319;-0.732506;0.724469;0.325172;0.007230;-0.021463;-0.994767;6;9.776551;-1.102883;-0.838432;7.646924;-0.213160;-3.378359;-0.513076;-0.111682;0.302665;1;0;
81;0;0.457576;2.219160;9.807887;-0.498403;0.147845;0.310516;0.042504;-0.315667;-0.628759;1;-0.735264;1.174557;10.229529;-0.672316;0.602393;0.354835;-0.005376;-0.005146;-1.009845;6;9.424945;-0.752875;-0.663831;7.555431;-0.277509;-3.102662;-0.513214;-0.128700;0.319030;1;0;
